Fund_name,Year,ms,lag_mr,performance,lag_perf,FUM,over_50,female,Average.fees,Fund_type,Cost.ratio
Catholic Superannuation Fund,2004,0.257052900239024,NA,0.130818619582664,NA,1451704,28.7062205142625,75.417877339332,NA,Industry,0.573961296730734
CCA Beverages Superannuation Plan,2004,0.0316123315892889,NA,2.83081861958266,NA,205136,NA,NA,NA,Corporate,0.707259927580953
CCA Group Superannuation Plan,2004,0.000640021121482311,NA,1.53081861958266,NA,82715,NA,NA,NA,Corporate,0.840545211245822
Challenger Retirement Fund,2004,0.2486089405964,NA,-8.26918138041734,NA,615069,NA,NA,NA,Retail,0.996134254132523
Chartwell Industries Superannuation Fund,2004,0.00523600101531694,NA,0.430818619582665,NA,31360,NA,NA,NA,Corporate,0.915186821309773
Chevron Australia Superannuation Plan,2004,0.0204276680031394,NA,1.93081861958266,NA,60702,NA,NA,NA,Corporate,0.345269989811705
Chifley Super,2004,0.111675832678768,NA,-2.66918138041734,NA,182846,16.7428642036328,27.9583178878867,NA,Retail,2.47285038967676
Christian Super,2004,0.109934425516943,NA,0.330818619582663,NA,243132,26.7850339099291,59.4452487998171,NA,Industry,0.599027489783792
Chubb Superannuation Plan,2004,0.0224871224707313,NA,1.93081861958266,NA,136242,NA,NA,NA,Corporate,1.07944476007157
Ciba Super,2004,0.0012957482827556,NA,2.93081861958266,NA,26721,NA,NA,NA,Corporate,1.0009491759427
Cincom Employee Benefit Plan,2004,0.00100911305657027,NA,-2.96918138041734,NA,4123,NA,NA,NA,Corporate,2.73862263391059
Citibank Australia Staff Superannuation Fund,2004,0.00133501338223304,NA,3.03081861958266,NA,84899,NA,NA,NA,Corporate,1.95130409267027
City of Launceston Employees Superannuation Fund (1963),2004,0.00234805294875105,NA,0.430818619582665,NA,32354,NA,NA,NA,Public Sector,0.258329469431013
City of Perth Superannuation Fund,2004,0.00836346618869523,NA,0.830818619582663,NA,46794,NA,NA,NA,Public Sector,0.46380223660977
City Tattersalls Club Staff Superannuation Fund,2004,0.00298807407023337,NA,0.0308186195826643,NA,8146,NA,NA,NA,Corporate,0.624561850742464
Civil Contractors Federation Superannuation Trust,2004,0.00361827891684632,NA,-4.06918138041734,NA,15493,NA,NA,NA,Corporate,2.84707847623198
Clipsal Australia Superannuation Fund,2004,0.019665925073277,NA,0.130818619582664,NA,67792,NA,NA,NA,Corporate,0.579965855531322
Clough Superannuation Fund,2004,0.0102717500232989,NA,2.63081861958266,NA,70223,NA,NA,NA,Corporate,0.534616412723871
Club Plus Superannuation Scheme,2004,0.14362977063351,NA,0.730818619582664,NA,712929,12.8177571118373,48.4782020631822,NA,Industry,0.717572683757576
Club Super,2004,0.0427832523906212,NA,0.230818619582664,NA,132813,NA,NA,NA,Industry,1.44127778444243
Coal Industry Superannuation Fund,2004,0.0109961911086577,NA,1.63081861958266,NA,94468,NA,NA,NA,Public Sector,0.541886180744515
Colonial First State FirstChoice Superannuation Trust,2004,5.6035301994457,NA,-1.36918138041734,NA,5489241,44.4437825408361,42.1038209047693,NA,Retail,0.894917886636813
Colonial Super Retirement Fund,2004,1.63430571323492,NA,-3.06918138041734,NA,6518101,36.4914189895876,37.2061856106639,NA,Retail,1.38041682367123
Combined Fund,2004,0.064679435114217,NA,4.53081861958266,NA,281964,27.90542345712,63.5586427998931,NA,Industry,0.876786963197377
Combined Insurance Company Staff Superannuation Fund,2004,0.000791191754470464,NA,2.53081861958266,NA,9080,NA,NA,NA,Corporate,1.02074633790681
Commerce Industry Superannuation Fund,2004,0.00228522878958715,NA,-7.76918138041734,NA,6570,NA,NA,NA,Industry,1.9211324570273
Commonwealth Bank Group Super,2004,0.39135131998172,NA,1.23081861958266,NA,5604587,21.3849838592107,61.3474955742997,NA,Corporate,0.851848840653333
